Str1,elem,PP_radius_s,PP_radius_p,USFE,SurfEne,ISIS,Number,EleNeg_Miedema,EleDensity_Miedema,V0_Miedema,Period,Group,M_Num2,Mass,Radius_Coval,VaporHeat,Ion_Pot_1,Ion_Pot_2,Ion_Pot_3,Radius_vDW,EleNeg_Pauling,No_Spectral_lines,MaxR_Ele_in_Solid,Heat_Capacity,BoilingT,MeltingT,Heat_Fusion,Heat_Sublimation,CohEnergy,DebyeT,Therm_Conduc,Ele_Conduc,S298,Electron_Affinity,Y_wiki,B_wiki,G_wiki,WorkFunc,NsVal,NpVal,NdVal,Nval,NsUnfill,NpUnfill,NdUnfill,NUnfill,Va_Activa,DFTBh,DFTGh,DFTYoung,DFTv0,NDFTC11,NDFTC12,NDFTC44,DFTBhvGh,DFTGvb,DFTGV,DFTpoisson,ratio_bh,Gb2pih,BGsq,GGB32,PackingEff,SpaceGroup,NfVal,NfUnfill,Va_Form,DFTC11,DFTC12,DFTC44,DFTC13,DFTC33,NDFTCxx
bcc,Eu,,,,0.45,1.01,63,3.2,1.77,19.97,6,9,28,151.96,198,175,5.61,11.24,24.56,233,1.185,272,0.97,26795.5,1703,1091,10467,182544,1.86,118,0.14,0.11,80.79,0.116,18,8.3,7.9,2.5,2,0,0,9,0,0,0,7,1.92,13.4,9.53,23.11,43.885,18.5,10.85,17.26,1.406,0.072,418.28,0.2125,1.224745,1.8579,1.1857,4.8224,0.680175,229,7,7,1.92,18.5,10.85,17.26,10.85,18.5,12.78
bcc,Ta,1.25,1.54,0.661,2.42,5.297,73,4.05,4.33,10.81,6,5,48,180.95,170,736,7.7,16.2,22,217,1.5,613,0.32,24455.7,5565,3293,31401,780838,8.1,240,0.58,0.76,41.47,0.323,186,200,69,4.25,2,0,3,19,0,0,7,7,4.14,197.12,60.3,164.17,18.313,260.87,165.24,70.43,3.269,1.098,1104.38,0.3612,1.224745,11.7548,1.8079,5.6442,0.680175,229,14,0,3.1,260.87,165.24,70.43,165.24,260.87,62.89
bcc,W,1.22,1.515,1.629,3.34,16.974,74,4.8,5.93,9.55,6,6,51,183.85,162,800,7.98,17.7,24,210,2.36,502,0.27,24785.9,5645,3695,35252.9,845315,8.9,400,1.74,1.89,32.62,0.816,411,310,161,4.55,2,0,4,20,0,0,6,6,5.54,307.08,146.6,379.42,16.229,517.76,201.74,139.45,2.095,3.011,2379.19,0.2941,1.224745,28.5758,1.4473,33.4114,0.680175,229,14,0,3.39,517.76,201.74,139.45,201.74,517.76,145.64
bcc,Hg,1.07,1.34,0.025,,0.212,80,4.2,1.91,14.08,6,12,69,200.59,132,59.2,10.43,18.75,34.2,155,2,131,0.36,28009.7,630,234.3,2298.6,61378,0.67,71.9,0.08,0.1,75.9,-0.5,12,13,4.6,4.48,2,0,10,26,0,0,0,0,0.42,17.3,3.15,8.92,28.978,19.3,16.3,5.16,5.486,0.036,91.39,0.4141,1.224745,0.6147,2.3422,0.1048,0.680175,166,14,0,0.27,19.3,16.3,5.16,16.3,19.3,3.94
bcc,Tl,1.015,1.22,0.069,0.22,0.843,81,3.9,1.4,17.23,6,13,72,204.38,145,165,6.11,20.42,29.8,196,1.62,80,0.43,26335,1745,577,4270.5,180032,1.88,78.5,0.46,0.61,64.3,0.32,8,43,2.8,3.84,2,1,10,27,0,5,0,5,1.03,31.25,6.19,17.41,31.2,34.52,29.62,11.29,5.051,0.066,193.05,0.4071,1.224745,1.2061,2.2475,0.2425,0.680175,194,14,0,0.49,34.52,29.62,11.29,29.62,34.52,8.34
fcc,Li,0.985,0.625,0.017,0.5,0.153,3,2.85,0.94,13,2,1,6,6.94,128,147,5.39,75.62,122.42,182,0.98,29,9.7,24744,1623,454,2985,160940,1.63,344,0.85,1.07,29.12,0.62,4.9,6,1.75,2.9,1,0,0,1,1,0,0,1,0.72,13.37,4.61,12.41,20.298,16.22,11.95,7.67,2.901,0.076,93.59,0.3454,0.707107,0.5189,1.7031,0.548,0.740481,229,0,0,0.62,16.22,11.95,7.67,11.95,16.22,5.82
fcc,Be,0.64,0.44,0.223,,5.22,4,5.05,4.66,4.9,2,2,12,9.01,96,297,9.32,18.21,153.85,153,1.57,61,2.8,16454.1,2744,1562,11723,325314,3.32,1440,2,3.08,9.5,-0.5,287,130,132,4.98,2,0,0,2,0,0,0,0,1.07,116.75,96.09,226.2,7.87,191.25,79.5,138.14,1.215,4.07,756.16,0.1771,0.707107,10.8136,1.1023,65.0843,0.740481,194,0,0,0.1,191.25,79.5,138.14,79.5,191.25,110.72
fcc,Na,1.1,1.55,0.008,0.22,0.092,11,2.7,0.55,23.78,3,1,5,22.99,166,97.7,5.14,47.29,71.8,227,0.93,83,5.3,28219,1173,371,2600,108019,1.11,158,1.41,2.11,51.3,0.55,10,6.3,3.3,2.75,1,0,0,1,1,0,0,1,0.51,7.39,3.48,9.02,37.143,9.54,6.31,5.78,2.123,0.031,129.24,0.2964,0.707107,0.3916,1.457,0.7721,0.740481,229,0,0,0.43,9.54,6.31,5.78,6.31,9.54,4.39
fcc,Mg,0.9,1.13,0.037,,0.612,12,3.45,1.6,14,3,2,11,24.31,141,128,7.64,15.03,78.2,173,1.31,98,3,24911.5,1376,922,8959.8,147375,1.51,400,1.56,2.33,32.67,-0.4,45,45,17,3.66,2,0,0,2,0,0,0,0,1.33,34.83,13.64,36.21,23.068,42.84,30.83,23.41,2.553,0.197,314.75,0.3268,0.707107,1.5356,1.5978,2.0936,0.740481,194,0,0,0.89,42.84,30.83,23.41,30.83,42.84,17.6
fcc,Al,0.77,0.905,0.158,0.8,2.662,13,4.2,2.7,10,3,13,75,26.98,121,293,5.98,18.82,28.44,184,1.61,116,1.9,24367.2,2621,933,10676.3,314010,3.39,428,2.37,3.65,28.3,0.433,70,76,26,4.28,2,1,0,3,0,5,0,5,1.36,74.33,23.06,62.69,16.578,100.99,61,25.36,3.224,0.464,382.26,0.3594,0.707107,2.5949,1.7954,2.2189,0.740481,225,0,0,0.74,100.99,61,25.36,61,100.99,23.57
fcc,K,1.54,2.15,0.008,0.11,0.046,19,2.25,0.27,45.63,4,1,4,39.1,203,76.9,4.34,31.81,45.9,275,0.82,87,6,29977.5,1049,336,2319.5,89974,0.93,91,1.02,1.39,64.68,0.5,3.42,3.1,1.3,2.3,1,0,0,1,1,0,0,1,0.49,3.67,1.26,3.38,73.934,4.15,3.43,2.7,2.92,0.006,92.94,0.3463,0.707107,0.1415,1.7087,0.1475,0.740481,229,0,0,0.38,4.15,3.43,2.7,3.43,4.15,1.92
fcc,Ca,1.32,1.68,0.033,0.47,0.219,20,2.55,0.75,26.2,4,2,10,40.08,176,155,6.11,11.87,51.21,231,1,163,3.3,26376.8,1762,1113,8666.7,176264,1.84,230,2,2.78,41.59,0.025,20,17,7.4,2.87,2,0,0,2,0,0,0,0,1.75,17.54,7.72,20.2,41.808,22.11,15.26,13.18,2.273,0.062,322.73,0.3081,0.707107,0.8687,1.5075,1.4947,0.740481,225,0,0,1.21,22.11,15.26,13.18,15.26,22.11,9.93
fcc,Sc,1.22,1.53,0.064,1.17,1.259,21,3.25,2.05,15.03,4,3,16,44.96,170,318,6.56,12.89,24.75,211,1.36,93,1.7,25162.7,2900,1814,16119.2,338293,3.9,360,0.16,0.21,34.64,0.188,74.4,56.6,29.1,3.4,2,0,1,3,0,0,9,9,2.54,53.08,23.68,61.84,24.442,71.59,43.82,33.85,2.242,0.323,578.72,0.3058,0.707107,2.6646,1.4972,4.7116,0.740481,194,0,0,1.84,71.59,43.82,33.85,43.82,71.59,27.2
fcc,Ti,1.15,1.43,0.076,,1.781,22,3.8,3.51,10.58,4,4,47,47.87,160,425,3.83,13.57,28.14,187,1.54,568,1.1,25037.1,3442,1946,15491.2,472271,4.85,420,0.22,0.23,30.72,0.076,116,110,44,4.33,2,0,2,4,0,0,8,8,2.48,111.08,36.63,99.01,17.268,137.11,98.06,55.75,3.032,0.707,632.55,0.3514,0.707107,4.1224,1.7414,3.9837,0.740481,194,0,0,2.07,137.11,98.06,55.75,98.06,137.11,43.68
fcc,Mn,0.99,1.23,0.166,,5.88,25,4.45,4.17,7.35,4,7,56,54.94,139,220,7.43,15.64,33.69,197,1.55,579,0.71,26335,3292,1520,14653.8,293495,2.92,410,0.08,0.072,32.22,-0.5,198,120,76.4,4.1,2,0,5,7,0,0,5,5,3.24,221.38,78.63,210.92,10.789,310.81,176.67,87.44,2.816,2.429,848.36,0.3412,0.707107,8.849,1.6779,9.9192,0.740481,217,0,0,2.64,310.81,176.67,87.44,176.67,310.81,80.65
