,Composition,Phase,Temperature,process,grain_size_micro,ultimate tensile strength
134,Cr1Fe1Co1Ni1Mo0.2,['FCC'],298.0,['AC'],,780000000.0
135,Al7Cr23Fe23(CoNi)23,"['B2', 'FCC']",298.0,,3.8,800000000.0
136,Al0.3Cr1Fe1Co1Ni1,"['B2', 'FCC', 'sigma']",298.0,"['CW', 'A']",,1039000000.0
137,Mn34.8Al7.5Cr6Fe40.4Ni11.3,,298.0,['A'],,584000000.0
138,MnCrFeCuNi,"['BCC', 'FCC', 'FCC']",298.0,"['CW', 'A']",1.5,1190000000.0
139,Al12Cr18Fe35(CoNi)18,,923.0,['AC'],,468000000.0
140,MnCrFeCoNi,['FCC'],298.0,"['CW', 'A']",30,676000000.0
141,Mn4CrFe4Co,['FCC'],298.0,['AC'],,471000000.0
142,Cr5Fe4Co7Ni4,['FCC'],298.0,"['CW', 'A']",11.6,721000000.0
143,CrFeCoNi,['FCC'],77.0,"['A', 'HF']",,1070000000.0
144,AlCrFeCoNi,"['B2', 'BCC', 'FCC', 'sigma']",973.0,"['HIP', 'A']",,393000000.0
145,Mn19.6Cr19.6Fe19.6Co19.6Ni19.6C2,"['FCC', 'carbide']",298.0,"['HF', 'A']",8,723000000.0
146,Al7Cr23Fe23(CoNi)23,"['FCC', 'L12']",298.0,['AC'],,335000000.0
147,Cr3Fe4Co7(Ni2Mo)2,"['FCC', 'mu']",298.0,"['CW', 'A']",,1410000000.0
148,Mn1Fe1Co1Cu1Ni1Sn0.03,['FCC'],298.0,['AC'],,465000000.0
149,CrCoNi,['FCC'],298.0,['CW'],41,860000000.0
150,MnFeNi,['FCC'],298.0,"['CW', 'A']",2.26,542000000.0
151,Hf1Zr1Ta0.6Ti1,"['BCC', 'HCP']",298.0,['AC'],,1100000000.0
152,Mn4CrFe4Co,['FCC'],298.0,"['HR', 'A']",32,978000000.0
153,Mn1Fe1Co1Cu1Ni1Sn0.05,"['?', 'FCC']",298.0,['AC'],,475000000.0
154,MnCrFeCoNi,['FCC'],298.0,"['CW', 'A']",,1402830000.0
155,Al0.3Cr1Fe1Co1Ni1,['FCC'],298.0,"['CW', 'A']",,410000000.0
156,Cr2CoNi2,['FCC'],298.0,"['CW', 'A']",1.78,644000000.0
157,Cr12Fe12Co12Ni12Mo,,298.0,['AC'],,479000000.0
158,Al7Cr23Fe23(CoNi)23,"['B2', 'FCC']",298.0,,2.7,930000000.0
159,Cr12.5Fe55Co18Ni7Mo7.5,"['FCC', 'mu']",298.0,"['CW', 'A']",4.8,1078000000.0
160,Mn4CrFe4Co,['FCC'],298.0,"['HR', 'A']",63,947000000.0
161,Cr3Fe4Co7(Ni2Mo)2,['FCC'],298.0,['AC'],,720000000.0
162,Al16Cr16Fe16Co16Ni34.4,,81.0,,,1000000000.0
163,FeCoNi,['FCC'],298.0,['CW'],28,513000000.0
164,Al17Cr17Fe17Co17Ni33.3,,81.0,,,1000000000.0
165,MnCrFeCoNi,['FCC'],298.0,"['CW', 'A']",1.79,901740000.0
166,Ti0.2Cr1Fe1Co1Ni1,['FCC'],298.0,"['CW', 'A']",51,1240000000.0
167,Al17Cr17Fe17Co17Ni33.3,,203.0,,,1034000000.0
168,HfZrTaTiNb,['BCC'],298.0,"['CW', 'A']",,1080000000.0
169,MnCrFeCoNi,['FCC'],298.0,"['CW', 'A']",0.248,1325250000.0
170,Mn28Al5Cr12(Fe7Ni4)5,['FCC'],298.0,['AC'],,556000000.0
171,VCoNi,,298.0,"['CW', 'A']",5.6,1224000000.0
172,AlCr2Fe2Co2(CuNi)2,['FCC'],973.0,['CW'],,185000000.0
173,Zr0.5Ta1Ti1Nb1.5,"['?', 'BCC']",298.0,['AC'],500,852000000.0
174,MnCrFeCoNi,['FCC'],298.0,"['CW', 'A']",0.166,1471050000.0
175,Al16Cr16Fe16Co16Ni35.5,,203.0,,,1143000000.0
176,Cr23Fe23Co23Ni23Mo7,"['FCC', 'mu', 'sigma']",298.0,"['CW', 'A']",0.2-6,1042000000.0
177,Mn3CrFe5Co,"['FCC', 'HCP']",298.0,"['CW', 'A']",6,800000000.0
178,Al17Cr17Fe17Co17Ni33.3,"['B2', 'L12']",298.0,,,1030000000.0
179,Al7Cr23Fe23(CoNi)23,"['B2', 'FCC']",298.0,['A'],,570000000.0
180,MnCrFeCoNi,['FCC'],298.0,"['CW', 'A']",0.468,1021320000.0
181,MnCrFeCoNi,['FCC'],298.0,"['CW', 'A']",22.37,618510000.0
182,MnV2Cr3Fe7Co2Ni5,['FCC'],298.0,"['CW', 'A']",48.2,610000000.0
183,Al0.3Cr1Fe1Co1Ni1,"['B2', 'FCC', 'sigma']",298.0,"['CW', 'A']",,1050000000.0
184,Cr1Fe1Co1Ni1Mo0.15,,298.0,"['CW', 'A']",,1122000000.0
185,CrFeCoNi,['FCC'],50.0,"['A', 'HF']",,1152000000.0
186,CrCoNi,,77.0,['A'],16,1440000000.0
187,Mn3CrFe5Co,"['FCC', 'HCP']",298.0,"['CW', 'A']",15,830000000.0
188,VCoNi,,298.0,"['CW', 'A']",18.7,1123000000.0
189,Hf1Zr1Ta0.4Ti1,"['BCC', 'HCP']",298.0,['AC'],,1100000000.0
190,Al8Cr17Fe17Co17Cu8Ni33,"['Cr23C6', 'FCC', 'L12']",298.0,['A'],,365000000.0
191,Cr23Fe23Co23Ni23Mo7,"['FCC', 'sigma']",298.0,['AC'],,709700000.0
192,Cr12.5Fe55Co17.5Ni10Mo5,"['FCC', 'mu']",298.0,"['CW', 'A']",136.5,638000000.0
193,Mn4CrFe4Co,['FCC'],298.0,['AC'],,634000000.0
194,Cr1Fe1Co1Ni1Mo0.15,['FCC'],298.0,"['CW', 'A']",,1245000000.0
195,Al16Cr16Fe16Co16Ni34.4,,203.0,,,1168000000.0
196,Mn23Al10Cr12(Fe7Ni4)5,['FCC'],298.0,['CW'],,625000000.0
197,MnCrFeCuNi,"['BCC', 'FCC', 'FCC']",298.0,"['CW', 'A']",2.2,960000000.0
198,Fe1Co1Cu1Ni1Sn0.07,"['?', 'FCC']",298.0,['AC'],,632000000.0
199,Fe1Co1Cu1Ni1Sn0.1,"['?', 'FCC']",298.0,['AC'],,602000000.0
200,HfZrTaTiNb,['BCC'],298.0,"['CW', 'A']",,1262000000.0
201,Cr1Fe1Co1Ni1Mo0.2,['FCC'],298.0,['A'],,790000000.0
202,Cr23Fe23Co23Ni23Mo7,"['FCC', 'mu', 'sigma']",298.0,"['CW', 'A']",0.2-3,1066600000.0
203,MnCrFeCoNi,['FCC'],298.0,['CW'],,1335350000.0
204,MnCrCoNi,['FCC'],298.0,['CW'],36,694000000.0
205,HfZrTaTiNb,['BCC'],298.0,['AC'],,862000000.0
206,CrFeCoNi,['FCC'],298.0,['CW'],24,708000000.0
207,Zr1.5Ta1Ti1Nb0.5,"['?', 'BCC']",298.0,['AC'],500,843000000.0
208,Mn1Fe1Co1Cu1Ni1Sn0.08,"['?', 'FCC']",298.0,['AC'],,425000000.0
209,Cr5Fe3(Co3Ni)3,['FCC'],298.0,"['CW', 'A']",10.5,841000000.0
210,AlCrFeCoNi,"['BCC', 'FCC']",298.0,['A'],,935000000.0
211,Al7Cr23Fe23(CoNi)23,['FCC'],298.0,,53,620000000.0
212,HfZrTaTiNb,['BCC'],298.0,['AC'],,856000000.0
