,Composition,Phase,Temperature,process,grain_size_micro,ultimate tensile strength
56,CrFeCoNi,['FCC'],298.0,"['CW', 'A']",14.9,612000000.0
57,CrFeCoNi,['FCC'],298.0,"['CW', 'A']",0.72,672000000.0
58,AlCrFeCoNi,"['B2', 'BCC']",973.0,['AC'],,400000000.0
59,Al0.9Cr1Fe1Ni2.1,"['B2', 'BCC', 'FCC']",298.0,['AC'],,1173000000.0
60,MnFeNi,['FCC'],298.0,"['CW', 'A']",1.25,599000000.0
61,Mn19.1Cr19.9Fe19.5Co20.6Ni20.9,"['BCC', 'FCC', 'sigma']",298.0,"['CW', 'A']",2,815000000.0
62,Al7Cr23Fe23(CoNi)23,"['B2', 'FCC']",298.0,"['CW', 'A']",144,520000000.0
63,TiAl2Cr12Fe12(CoNi)12,"['FCC', 'L12', 'L21']",298.0,"['CW', 'A']",2.8,1273000000.0
64,Cr12.5Fe55Co18Ni7Mo7.5,"['FCC', 'mu']",298.0,"['CW', 'A']",5.4,933000000.0
65,Cr3Fe4Co7(Ni2Mo)2,"['FCC', 'mu']",298.0,"['CW', 'A']",,1127000000.0
66,Al0.3Cr1Fe1Co1Ni1,"['B2', 'FCC', 'sigma']",298.0,"['CW', 'A']",0.71,1074000000.0
67,Nb0.412Cr1Fe1Co1Ni1,"['C14', 'FCC']",298.0,['AC'],150-200,1004000000.0
68,ZrTaTiNb,['BCC'],298.0,['AC'],500,1205000000.0
69,Ti6Al10Cr8Fe15Co25Ni36,['FCC'],1073.0,['A'],,536000000.0
70,Cr(CoNi)2,['FCC'],298.0,"['CW', 'A']",0.212,824000000.0
